,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
1400,521956,Sherwood Park Freeway West of  50 Street,2016,40400.0,53.5148614,-113.4251029
1402,208342,South Terwillegar Drive West of Rabbit Hill Road,2017,8200.0,53.4354999,-113.5757483
1403,414264,153 Avenue West of  30 Street,2017,14700.0,53.616002,-113.388063
1405,514028,36 Avenue West of  39 Street,2013,1700.0,53.4677184,-113.4041397
1407,113107,123 Street North of 116 Avenue,2013,300.0,53.5675602,-113.5341457
1408,536223,62 Street SW North of Ellerslie Road SW,2014,3700.0,53.4252444,-113.4363175
1410,507744,Knottwood Road W West of  87 Street,2016,2100.0,53.4431444,-113.4619032
1411,419260,165 Avenue West of  67A Street,2011,1500.0,53.6267594,-113.4460122
1412,253283,111 Street SW North of Ellerslie Road SW,2011,20100.0,53.425773,-113.516379
1414,414264,153 Avenue West of  30 Street,2011,2600.0,53.616002,-113.388063
1417,532467,34 Street North of  38 Avenue,2016,19600.0,53.4758923,-113.3936716
1418,302340,87 Avenue West of 163 Street,2013,20000.0,53.519525,-113.604113
1419,112781,116 Street North of 111 Avenue,2012,4400.0,53.5594147,-113.5213393
1420,302272,87 Avenue West of 152 Street,2018,19200.0,53.5194707,-113.5838152
1421,255725,117 Street north of  87 Avenue,2013,600.0,53.5238977,-113.5324819
1422,521408,79 Street North of  81 Avenue,2016,500.0,53.5174655,-113.4490249
1423,110061,34 Street North of 113 Avenue,2017,3400.0,53.566358,-113.393714
1426,310532,106 Avenue West of 125 Street,2016,600.0,53.5493708,-113.5384624
1427,431611,Fraser Way North of 147 Avenue,2017,1000.0,53.6108043,-113.3675014
1430,111887,101 Street North of 106 Avenue,2015,23100.0,53.5503485,-113.4937392
1431,530739,17 Street North of  34 Avenue,2015,18200.0,53.47051,-113.3688
1432,401004,Hooke Road West of Victoria Trail,2014,3000.0,53.5840122,-113.3855058
1433,420320,167 Avenue West of  66 Street,2013,13700.0,53.628658,-113.4439347
1434,308904,Stony Plain Road West of 148 Street,2016,25800.0,53.5420126,-113.5768904
1435,253373,111 Street North of  43 Avenue,2013,25800.0,53.4796442,-113.516501
1437,304252,92 Avenue West of 156 Street,2016,900.0,53.5266884,-113.5926286
1438,522828,86 Avenue West of  72 Street,2017,1600.0,53.5211603,-113.4390514
1439,537511,71 Street North of  77 Avenue,2018,1200.0,53.5137865,-113.4367761
1441,517820,Whitemud Drive West of  50 Street,2012,73100.0,53.486248,-113.4298154
1442,400016,106 Avenue West of Wayne Gretzky Drive NB,2015,17600.0,53.5494028,-113.4389165
1443,308184,100 Avenue West of 170 Street,2016,26400.0,53.5392924,-113.6161188
1448,257189,Aspen Drive West North of  39A Avenue,2015,200.0,53.4760262,-113.5513587
1449,404264,132 Avenue West of  68 Street,2012,7400.0,53.5922864,-113.4468305
1453,101454,105 Avenue West of 115 Street,2013,3800.0,53.5482754,-113.520521
1454,258953,Rabbit Hill Road North of Tory Gate,2014,21000.0,53.4525815,-113.5656579
1455,443333,Castle Downs Road North of 153 Avenue,2015,17700.0,53.618452,-113.518271
1456,519660,Argyll Road West of  83 Street,2011,36500.0,53.50233,-113.454635
1457,102564,111 Avenue West of  94 Street,2017,17600.0,53.5602266,-113.4862118
1460,420392,Castle Downs Road West of  97 Street,2011,19900.0,53.6288767,-113.4944047
1461,436641,66 Street North of 134 Avenue,2017,21600.0,53.597639,-113.442957
1463,537455,71 Street North of  34 Avenue,2016,2300.0,53.4658554,-113.4425857
1464,250607,104 Street North of  76 Avenue,2015,21900.0,53.5128453,-113.4977142
1465,335077,159 Street North of  81 Avenue,2017,20200.0,53.5160218,-113.5967025
1466,305140,94 Avenue West of 167 Street,2011,600.0,53.5307244,-113.6116402
1467,538055,75 Street North of  86 Avenue,2015,45400.0,53.521832,-113.442875
1468,534659,49 Street North of  92 Avenue,2014,2400.0,53.5286985,-113.4148956
1469,409340,142 Avenue West of  59 Street,2011,100.0,53.6044387,-113.4331788
1470,110913,79 Street North of 112S Avenue,2018,300.0,53.5607234,-113.4625237
1471,519600,68 Avenue West of 43A Street,2018,2900.0,53.5049139,-113.414428
1472,538803,Edwards Drive SW North of   8 Avenue SW,2015,3700.0,53.4269002,-113.4571278
1475,522072,82 Avenue West of  79 Street,2018,27900.0,53.518045,-113.450159
1476,539247,83 Street North of  71 Avenue,2013,15000.0,53.508662,-113.455078
1477,530775,17 Street North of  68 Avenue,2017,12200.0,53.5055397,-113.3692641
1478,224812,Lessard Road West of 188 Street,2015,12800.0,53.482502,-113.650961
1479,260723,South Terwillegar Drive North of Sloane Crescent N,2014,2700.0,53.4398018,-113.5809734
1480,311256,107 Avenue West of 156 Street,2015,22800.0,53.551189,-113.592375
1481,443765,117 Street North of 142 Street,2015,600.0,53.6048496,-113.523084
1482,112321,110 Street North of  97 Avenue,2015,2600.0,53.5345891,-113.5102777
1483,512164,31 Avenue West of  97 Street,2012,2300.0,53.462718,-113.4828574
1484,100896,102 Avenue West of 102 Street,2013,8800.0,53.543054,-113.496366
1486,112407,111 Street North of Jasper Avenue,2018,4400.0,53.5421195,-113.5121033
1487,541851,99 Street North of  91 Avenue,2018,25300.0,53.526651,-113.4860769
1489,534427,48 Street North of  32 Avenue,2013,3500.0,53.4640405,-113.4156421
1490,400112,Yellowhead Trail NE West of  33 Street NE,2017,45800.0,53.5701825,-113.2990001
1493,112257,109 Street North of 102 Avenue,2018,30100.0,53.5437761,-113.5084071
1494,407390,137 Avenue West of Clareview Town Center Access,2015,30200.0,53.5971061,-113.4120178
1495,100636,Jasper Avenue West of Alex Taylor Road,2016,15900.0,53.5469449,-113.4769848
1496,330917,130 Street North of 109 Avenue,2017,400.0,53.5546601,-113.5462146
1497,102975,Kingsway North of Princess Elizabeth Avenue,2017,33000.0,53.563495,-113.514724
1498,537571,71 Street North of 100 Avenue,2013,2000.0,53.5407247,-113.436884
1499,541803,99 Street North of  79 Avenue,2016,26800.0,53.515799,-113.486138
1500,333785,St Albert Trail North of 134 Avenue,2015,40900.0,53.5960387,-113.5716024
1501,250295,Calgary Trail North of  42 Avenue,2015,45800.0,53.4787825,-113.4956637
1502,436593,66 Street North of Yellowhead Trail,2015,12600.0,53.579239,-113.4430444
1503,254129,112 Street North of  82 Avenue,2013,15100.0,53.518512,-113.520792
1508,536767,66 Street North of  34 Avenue,2013,30300.0,53.4697313,-113.4379542
1509,100440,100 Avenue West of 102 Street,2017,4800.0,53.538834,-113.496712
1510,405712,134 Avenue West of 112 Street,2016,4800.0,53.5949339,-113.515206
1511,253949,112 Street North of  25 Avenue,2014,1800.0,53.4583542,-113.5210246
1512,306220,96 Avenue West of 143 Street,2016,2100.0,53.5336697,-113.5682839
1517,110719,66 Street North of 121 Avenue,2017,10500.0,53.5759872,-113.4430624
1518,430009,33 Street NE North of 121 Avenue NE,2015,3400.0,53.5950139,-113.2952948
1519,337405,Ray Gibbons Drive North of 137 Avenue,2015,20500.0,53.6055112,-113.6501402
1520,536219,Watt Boulevard SW North of  11 Avenue SW,2015,4100.0,53.4242959,-113.4363085
1523,538739,79 Street North of 101 Avenue,2017,5800.0,53.5417454,-113.4492767
1525,226564,52 Avenue West of 109 Street,2014,1900.0,53.4895441,-113.5129577
1526,401004,Hooke Road West of Victoria Trail,2016,3500.0,53.5840122,-113.3855058
1528,423964,176 Avenue West of  97 Street,2013,6200.0,53.6385071,-113.4937571
1529,104346,118 Avenue West of  80 Street,2016,17200.0,53.5704175,-113.464799
1530,315108,118A Avenue South West of 199 Street,2014,1700.0,53.5687886,-113.6865717
1531,533707,44 Street North of Kulawy Drive North,2011,5000.0,53.4786434,-113.4094367
1533,430961,Meridian Street North of 167 Avenue,2017,800.0,53.6308712,-113.3443528
1535,267365,199 Street North of Lessard Road,2011,4000.0,53.47856,-113.67178
1536,407524,137 Avenue West of  90A Street,2015,26500.0,53.5995291,-113.4840984
1537,110951,80 Street North of 117 Avenue,2016,9800.0,53.569814,-113.464043
1538,226090,51 Avenue West of 106A Street,2018,14400.0,53.4882546,-113.5070401
1539,311256,107 Avenue West of 156 Street,2011,21500.0,53.551189,-113.592375
1540,255173,115 Street North of  56 Avenue,2011,400.0,53.4937656,-113.5287767
1541,535575,56 Street North of  85 Avenue,2012,900.0,53.520909,-113.4228546
1542,512592,Silver Berry Road West of  33A Street,2011,5900.0,53.4634462,-113.3913874
1545,101310,104 Avenue West of 114 Street,2018,30500.0,53.5462663,-113.5196936
1546,210382,Terwillegar Boulevard West of Tredger Green,2013,4000.0,53.444687,-113.5728795
1547,316196,124 Avenue West of 142 Street,2014,2400.0,53.5790682,-113.5675914
1548,332921,142 Street North of 100 Avenue,2017,23900.0,53.540901,-113.565678
1549,538799,Edwards Drive SW North of Ellerslie Road SW,2014,3700.0,53.4256195,-113.4554281
1551,105284,121 Avenue West of  37 Street,2015,4600.0,53.5750902,-113.3991305
1554,438973,82 Street North of 144 Avenue,2014,23400.0,53.6090115,-113.46747
1555,269387,215 Street North of  62 Avenue,2014,3300.0,53.5005063,-113.6889099
1557,221962,42 Avenue West of Calgary Trail,2014,4600.0,53.4780279,-113.4984786
1559,333065,142 Street North of 137 Avenue,2012,5400.0,53.6028591,-113.5658108
1560,333789,Mark Messier Trail North of 137 Avenue,2016,35300.0,53.601633,-113.576987
1562,512992,34 Avenue West of  58 Street,2018,17000.0,53.465496,-113.432184
1563,318006,137 Avenue West of 164 Street,2016,13100.0,53.599385,-113.6099315
1565,261665,156 Street North of Rio Terrace Drive,2017,1000.0,53.5059569,-113.5903713
1566,303576,Webber Greens Drive West of Suder Greens Drive,2015,7300.0,53.5272444,-113.6761575
1567,112087,105 Street North of  97 Avenue,2015,16700.0,53.5348029,-113.5010956
1570,311272,107 Avenue West of 163 Street,2013,18400.0,53.551306,-113.604561
1571,443313,Castle Downs Road North of 137 Avenue,2014,20200.0,53.601227,-113.516732
1572,113143,124 Street North of 114 Avenue,2013,12700.0,53.564758,-113.535954
1574,511200,28 Avenue West of  16 Street,2018,2900.0,53.4594519,-113.3672586
1575,534931,50 Street North of 101 Avenue,2014,25200.0,53.54205,-113.4186368
1577,332905,142 Street North of 97 Avenue,2014,20900.0,53.535022,-113.565586
1579,257201,127 Street SW North of  41 Avenue SW,2014,2700.0,53.39632,-113.540868
1580,222430,43 Avenue West of 114A Street,2017,800.0,53.4796656,-113.5268432
1582,538755,79 Street North of 105 Avenue,2011,3700.0,53.5486334,-113.4492767
1583,537099,Ottewell Road North of  94 Avenue,2016,3000.0,53.5317989,-113.4352833
1585,540539,91 Street North of  58 Avenue,2015,21400.0,53.4957077,-113.4672182
1586,521408,79 Street North of  81 Avenue,2014,500.0,53.5174655,-113.4490249
1587,522064,82 Avenue West of  75 Street,2017,29300.0,53.5180377,-113.4452567
1589,213088,Haddow Drive West of Terwillegar Drive,2014,4200.0,53.4516711,-113.5918282
1590,318596,Mark Messier Trail West of 156 Street,2017,34000.0,53.6139093,-113.5950747
1591,110065,34 Street North of 116A Avenue,2013,8100.0,53.5693654,-113.3937076
1596,409880,144 Avenue West of Manning Drive NB,2016,6400.0,53.6069093,-113.4116581
1597,111617,96 Street North of Jasper Avenue,2017,200.0,53.5437334,-113.482066
1598,330113,125 Street North of 105 Avenue,2016,600.0,53.5486601,-113.537644
1599,414436,153 Avenue West of 121 Street,2011,19700.0,53.6169929,-113.5334712
1600,111701,97 Street North of 106 Avenue,2017,14200.0,53.5506264,-113.4889728
1603,315956,Dovercourt Avenue West of 134 Street,2016,1600.0,53.576313,-113.5566737
1607,405356,134 Avenue West of Fort Road,2015,800.0,53.5947791,-113.4282865
1610,235864,76 Avenue West of 113 Street,2014,4500.0,53.5122517,-113.5240193
1611,525930,Terrrace Road North of  98 Avenue,2016,17700.0,53.5396665,-113.4268206
1612,256781,Saskatchewan Drive North of University Avenue,2011,22800.0,53.5205508,-113.5386693
1614,252815,109 Street North of  81 Avenue,2015,35800.0,53.5176206,-113.5120404
1616,404384,132 Avenue West of  91 Street West,2017,7000.0,53.5921744,-113.4849528
1617,421028,168 Avenue West of  57A Street,2017,400.0,53.62988,-113.42363
1618,526028,101 Avenue West of  49 Street,2013,25700.0,53.5411576,-113.4166943
1619,315840,123 Avenue West of 124 Street,2016,900.0,53.57776,-113.5367987
1621,250085,Gateway Boulevard North of  45 Avenue,2015,39000.0,53.483872,-113.4920484
1622,523592,90 Avenue West of  71 Street,2012,10400.0,53.5252503,-113.4383589
1623,442249,Beaumaris Road North of 154 Avenue,2017,7300.0,53.6154031,-113.5022198
1624,432621,Victoria Trail North of Hooke Road,2015,28600.0,53.5849892,-113.3840399
1625,439085,82 Street North of 134 Avenue,2016,28800.0,53.5961241,-113.4673441
1626,444753,127 Street North of 135 Avenue,2015,30600.0,53.5971915,-113.5411694
1627,260945,Towne Centre Boulevard North of Trelle Way,2012,9000.0,53.454851,-113.582744
1628,260717,South Terwillegar Drive North of Sloane Crescent South,2016,2400.0,53.43865,-113.5820346
1629,520860,76 Avenue West of Girard Road,2012,2000.0,53.5122838,-113.4351394
1630,256253,119 Street South of   9B Avenue,2012,1500.0,53.438725,-113.5393797
1631,315616,122 Avenue West of 128 Street,2016,2200.0,53.5766868,-113.5437324
1632,538727,79 Street North of  97 Avenue,2016,4800.0,53.5369194,-113.4492587
1634,520760,76 Avenue west of  17 Street,2018,4900.0,53.5122036,-113.3711256
1635,402334,129 Avenue West of Fort Road,2017,4600.0,53.587637,-113.4379902
1639,434981,55 Street North of 146 Avenue,2015,1200.0,53.6104094,-113.4243025
1640,511256,Silver Berry Road West of  32 Street,2015,2200.0,53.4575242,-113.3861173
1642,111337,92 Street North of  99 Avenue,2014,700.0,53.5416492,-113.4708964
1644,204858,9 Avenue SW West of 215 Street SW,2011,500.0,53.4249818,-113.6918057
1645,110759,68 Street North of 116 Avenue,2017,800.0,53.5698247,-113.446156
1648,238816,Saskatchewan Drive West of 107 Street,2016,8600.0,53.5236304,-113.5078495
1649,105320,121 Avenue West of  46 Street,2016,4800.0,53.5750741,-113.4131689
1651,234798,Guardian Road West of Graham Gate,2017,10200.0,53.5075294,-113.6686122
1653,226768,Hemingway Road West of 199 Street,2015,8700.0,53.4880192,-113.6655725
1654,316414,Yellowhead Trail West of 231 Street,2014,60400.0,53.569825,-113.716499
1655,230812,63 Avenue West of Gateway Boulevard,2018,25300.0,53.499899,-113.496105
1656,538739,79 Street North of 101 Avenue,2018,5500.0,53.5417454,-113.4492767
1657,538803,Edwards Drive SW North of   8 Avenue SW,2017,3500.0,53.4269002,-113.4571278
1659,520948,76 Avenue West of  85 Street West,2014,4700.0,53.5123052,-113.4587645
1660,513532,Woodvale Road West West of  60 Street,2012,900.0,53.4675418,-113.4313982
1661,537307,70 Street SW North of  16 Avenue SW,2016,3000.0,53.4194404,-113.4502659
1663,204764,Ellerslie Road SW East of 170 Street SW,2015,1800.0,53.4249497,-113.6130791
1666,523608,90 Avenue West of  75 Street,2017,11500.0,53.525261,-113.4462909
1668,510872,26 Avenuue West of  40 Street,2015,2000.0,53.4565818,-113.4036811
1670,333065,142 Street North of 137 Avenue,2015,13900.0,53.6028591,-113.5658108
1671,530795,17 Street North of Sherwood Park Freeway,2018,10500.0,53.520585,-113.369323
1673,302464,Webber Greens Drive West of 199 Street,2014,13600.0,53.5234326,-113.6659413
1674,536307,Woodvale Road West North of  36 Avenue,2016,1500.0,53.4707537,-113.4335835
1675,212782,Tory Road West of Tory Crescent East,2017,700.0,53.4517943,-113.5713596
1676,535711,57 Street North of Austin O'Brien Road,2012,1500.0,53.537138,-113.423704
1677,250853,105 Street North of  21 Avenue,2017,7100.0,53.453304,-113.501461
1678,538759,79 Street North of 106 Avenue,2016,1000.0,53.5499638,-113.4492767
1679,238672,87 Avenue West of 112 Street,2017,15100.0,53.522898,-113.521754
1680,110065,34 Street North of 116A Avenue,2018,9200.0,53.5693654,-113.3937076
1682,111901,101 Street North of 110A Avenue,2016,18300.0,53.5583997,-113.4936852
1683,524298,92A Avenue West of  86 Street,2013,500.0,53.527223,-113.4600686
1684,105698,122 Avenue West of  64 Street,2016,700.0,53.5767401,-113.4406252
1686,102576,111 Avenue West of  96 Street,2012,24300.0,53.5591476,-113.4907174
1687,539767,86 Street North of  63 Avenue,2011,3700.0,53.5007791,-113.4589624
1688,313388,111 Avenue West of 135 Street,2015,35400.0,53.5589018,-113.5613681
1694,436065,62 Street North of 131 Avenue,2015,700.0,53.5914111,-113.4367042
1695,101100,103 Avenue West of 109 Street,2018,2100.0,53.5446044,-113.5091715
1696,214144,25 Avenue West of 112 Street,2011,1400.0,53.4577384,-113.5221577
1699,309800,Stony Plain Road West of 133 Street,2014,22000.0,53.545967,-113.5520961
1700,524298,92A Avenue West of  86 Street,2012,500.0,53.527223,-113.4600686
1701,110455,53 Street North of 112 Avenue,2018,600.0,53.5677846,-113.4230705
1702,256727,122 Street North of Whitemud Drive Westbound,2016,19000.0,53.484908,-113.541158
1704,315152,119 Avenue West of 123 Street,2015,500.0,53.5719395,-113.535045
1705,102988,Kingsway West of Airport Road E,2015,32200.0,53.5658672,-113.5203141
1706,515340,38 Avenue West of  62 Street,2011,8800.0,53.4743936,-113.4347167
1707,316252,Yellowhead Trail West of 124 Street,2015,71900.0,53.580598,-113.537654
1711,336125,170 Street North of 117 Avenue,2014,30900.0,53.5690183,-113.6153544
1712,522836,86 Avenue West of  73 Street,2015,1500.0,53.5211603,-113.4413986
1713,204736,Ellerslie Road SW West of 127 Street SW,2017,12500.0,53.4248961,-113.5537779
1714,518048,51 Avenue West of  54 Street,2017,900.0,53.4879657,-113.426308
1715,400280,Yellowhead Trail West of  50 Street,2015,58900.0,53.581359,-113.42891
1716,513024,34 Avenue West of  82 Street,2014,22600.0,53.4652879,-113.4586836
1718,312272,109 Avenue West of 136 Street,2014,300.0,53.5545586,-113.5578968
1719,422020,McConachie Drive West of  50 Street,2013,2300.0,53.631264,-113.4193
1720,541139,96 Street North of  71 Avenue,2014,5700.0,53.5079358,-113.4764542
1721,307136,98 Avenue West of 142 Street,2015,1000.0,53.536156,-113.566638
1722,409904,144 Avenue West of  51 Street,2017,5000.0,53.6069,-113.421129
1723,253349,111 Street North of Saddleback Road North,2014,26000.0,53.4632802,-113.5163391
1726,533775,Mill Woods Road East North of  23 Avenue,2017,4800.0,53.4564533,-113.4089151
1727,100772,Jasper Avenue West of 121 Street,2015,18100.0,53.5410881,-113.5317625
1728,103664,115 Avenue West of  93 Street,2018,5400.0,53.565787,-113.4849888
1729,700026,Anthony Henday Dr North West of St. Albert Trail,2014,52000.0,53.616369,-113.601964
1730,508344,Mill Woods South West of  54 Street,2013,5900.0,53.4454905,-113.4277469
1732,336149,170 Street North of 137 Avenue,2011,16200.0,53.6014663,-113.6150307
1733,112271,109 Street North of 109 Avenue,2016,28600.0,53.5555523,-113.5084611
1734,436685,66 Street North of 167 Avenue,2017,14500.0,53.6302899,-113.4429185
1737,112213,107 Street North of 110 Avenue,2018,500.0,53.5577426,-113.5047379
1738,112101,105 Street North of 104 Avenue,2016,3900.0,53.5470838,-113.5010686
1740,407420,137 Avenue West of  56 Street,2014,24400.0,53.5996252,-113.4286912
1741,252665,109 Street North of  54 Avenue,2015,2000.0,53.4924923,-113.5118875
1742,419260,165 Avenue West of  67A Street,2013,1500.0,53.6267594,-113.4460122
1743,444729,127 Street North of 129 Avenue,2017,25900.0,53.5884485,-113.5412593
1744,334793,156 Street North of 104 Avenue,2017,16800.0,53.546869,-113.590354
1745,111067,84 Street North of Jasper Avenue,2014,2600.0,53.555766,-113.4707885
1746,509168,19 Avenue West of  66 Street,2015,1900.0,53.4496092,-113.4366322
1747,100820,101A Avenue West of  96 Street,2011,800.0,53.54364,-113.482981
1748,309844,104 Avenue West of 137 Street,2018,500.0,53.5461915,-113.558904
1749,235732,76 Avenue West of Gateway Boulevard,2016,5400.0,53.5123427,-113.4963112
1750,531283,23 Street North of  35A Avenue,2017,500.0,53.4706788,-113.3768363
1751,100704,Jasper Avenue West of 104 Street,2012,19400.0,53.5409384,-113.5001423
1753,435105,Fort Road North of 134 Avenue,2016,28400.0,53.5956117,-113.4261731
1754,112085,105 Street North of  96 Avenue,2017,18000.0,53.5329909,-113.5011046
1755,217354,32A Avenue West of 116 Street,2014,200.0,53.4650952,-113.5355666
1757,531123,21 Street North of  38 Avenue,2012,3000.0,53.4779155,-113.375928
1758,404344,132 Avenue West of  85 Street,2016,8600.0,53.5921317,-113.4718677
1760,260763,Terwillegar Drive North of Rabbit Hill Road,2017,42300.0,53.473895,-113.577141
1761,302316,87 Avenue West of 157 Street,2018,19000.0,53.5194921,-113.5937977
1762,521020,76 Avenue West of  98 Street,2017,5700.0,53.512289,-113.485134
1765,518236,55 Avenue West of  48 Street,2011,2200.0,53.4919037,-113.4164604
1768,253295,111 Street SW North of Macewan Road SW,2016,36700.0,53.431086,-113.517419
1769,530687,17 Street SW North of Ellerslie Rd SW,2014,1700.0,53.4259464,-113.3661524
1770,539267,83 Street North of  79 Avenue,2015,16700.0,53.515488,-113.455129
1771,311200,107 Avenue West of 149 Street,2015,23400.0,53.5510752,-113.5795884
1773,535567,56 Street North of  82 Avenue,2017,1000.0,53.5189788,-113.4228456
1774,230566,62 Avenue West of Glastonbury Boulevard,2011,6300.0,53.4942418,-113.670267
1775,400208,Yellowhead Trail West of  17 Street,2011,80000.0,53.5692052,-113.3663772
1776,404400,132 Avenue West of  95A Street,2011,11000.0,53.5920943,-113.4900609
1777,218554,Rabbit Hill Road West of Terwillegar Drive Southbound,2017,20200.0,53.4691103,-113.5843278
1779,333265,144 Street North of 103 Avenue,2017,500.0,53.5446846,-113.5691473
1781,262049,Haddow Drive North of Hunters Gate,2016,4000.0,53.4582257,-113.5936448
1782,208078,Anthony Henday Drive South West of 111 Street,2016,86700.0,53.434618,-113.534628
1783,100164,97 Avenue West of 102 Street,2015,54100.0,53.5340225,-113.4964731
1784,404636,132A Avenue West of Clareview Road,2013,1300.0,53.5933006,-113.3855508
1787,336141,170 Street North of 128A Avenue,2017,14900.0,53.5874555,-113.6152285
1789,112775,116 Street North of 108 Avenue,2011,6400.0,53.553613,-113.5212764
1791,519352,66 Avenue  West of  86 Street,2015,2500.0,53.5019506,-113.4619931
1793,404592,132 Avenue West of 122 Street,2013,8200.0,53.5921957,-113.5327517
1794,541359,97 Street North of  62 Avenue,2013,8600.0,53.4991475,-113.479368
1795,301452,84 Avenue West of 152 Street,2017,700.0,53.516935,-113.583028
1796,409864,144 Avenue West of  36 Street,2015,9900.0,53.6068666,-113.4019454
1797,536211,Watt Boulevard SW North of  13 Avenue SW,2014,4800.0,53.42237,-113.43634
1798,100176,97 Avenue NW West of 106 Street NW,2015,27000.0,53.534124,-113.5036227
1799,226126,51 Avenue West of 110 Street,2017,13200.0,53.4882386,-113.515197
1802,266963,Anthony Henday Drive North of Callingwood Road,2015,99500.0,53.501732,-113.659383
1803,214336,Leger Way West of Lincoln Crescent,2017,1300.0,53.4560892,-113.5691113
1805,311280,107 Avenue West of Mayfield Road,2018,17200.0,53.5525391,-113.6102912
1806,100492,100 Avenue West of 115 Street,2014,14900.0,53.5388381,-113.520458
1807,112129,105 Street North of 121 Avenue,2012,2400.0,53.5763557,-113.5010686
1808,253511,111 Street North of  81 Avenue,2011,2100.0,53.517771,-113.517813
1809,434345,50 Street North of 137 Avenue,2012,26000.0,53.5988513,-113.4136276
1811,538723,79 Street North of  95 Avenue,2015,4200.0,53.5347548,-113.4492497
1812,539691,Lakewood Road West North of  28 Avenue,2017,2700.0,53.4596768,-113.4599337
1814,501888,Shaw Way SW West of  66 Street SW,2015,2900.0,53.4145683,-113.4429275
1816,221050,40 Avenue West of 115A Street,2016,6000.0,53.4763473,-113.533678
1818,530967,19 Street North of  36 Avenue,2013,700.0,53.4711552,-113.3716473
1819,253325,111 Street North of Saddleback Road South,2013,25100.0,53.4516818,-113.5162851
1820,430141,17 Street NE North of Yellowhead Trail,2015,8600.0,53.5727459,-113.3200262
1821,228718,58 Avenue West of 104 Street,2016,600.0,53.4951192,-113.4985865
1823,536751,66 Street North of  19 Avenue,2017,19500.0,53.4507821,-113.4352023
1825,434845,54 Street north of 155 Avenue,2013,1000.0,53.6180758,-113.4227827
1826,527436,106 Avenue West of  67 Street,2016,18800.0,53.549328,-113.4341051
1828,330137,125 Street North of 110 Avenue,2015,500.0,53.5581433,-113.537671
1829,204736,Ellerslie Road SW West of 127 Street SW,2016,5000.0,53.4248961,-113.5537779
1830,113047,122 Street North of 107 Avenue,2017,600.0,53.5517858,-113.532455
1831,302472,Suder Greens Drive West of Lewis Estates Boulevard,2017,4400.0,53.5205187,-113.6835859
1833,401788,128 Avenue West of  70 Street,2013,400.0,53.5860942,-113.4501131
1834,302664,88 Avenue West of 160 Street,2013,500.0,53.5224862,-113.6004257
1836,402268,129 Avenue West of  50 Street,2015,6700.0,53.5875997,-113.4194552
1837,700017,Anthony Henday Drive South West of  50 Street,2017,65600.0,53.4355588,-113.430265
1840,111853,101 Street North of  94 Avenue,2016,200.0,53.5301471,-113.4937212
1841,538675,79 Street North of  82 Avenue,2012,2700.0,53.518506,-113.449049
1842,441269,97 Street North of 137 Avenue,2014,43100.0,53.6008366,-113.4919945
1843,333809,149 Street North of  84 Avenue,2014,36400.0,53.518353,-113.577938
1844,203908,Rutherford Road SW West of 112 Street SW,2017,5400.0,53.4210483,-113.5192799
1845,534895,50 Street North of  82 Avenue,2016,27600.0,53.518583,-113.418502
1846,516068,40 Avenue West of  50 Street,2011,4700.0,53.4760583,-113.4181961
1847,520760,76 Avenue west of  17 Street,2011,5300.0,53.5122036,-113.3711256
1849,101744,107 Avenue West of 105 Street,2013,18300.0,53.5514171,-113.5016802
1850,541299,97 Street North of  33 Avenue,2014,2800.0,53.466455,-113.4795928
1853,405356,134 Avenue West of Fort Road,2017,800.0,53.5947791,-113.4282865
1854,258959,Rabbit Hill Road North of  23 Avenue,2016,17200.0,53.4546112,-113.5656489
1855,541283,Parsons Road North of  29A Avenue,2012,18700.0,53.462095,-113.486049
1859,230002,61 Avenue West of 104 Street,2013,9400.0,53.49798,-113.498719
1861,110009,Abbottsfield Road North of 119 Avenue,2013,2200.0,53.5736323,-113.3885995
1862,111017,82 Street North of 118 Avenue,2018,23700.0,53.5712933,-113.4673171
1863,268097,204 Street North of  48 Avenue,2013,1800.0,53.4857503,-113.6738103
1866,541491,98 Street North of  22 Avenue,2012,4800.0,53.4530528,-113.4834419
1867,260950,Whitemud Road South of  43 Avenue,2017,400.0,53.4818385,-113.586702
1868,436605,66 Street North of Fort Road,2016,22500.0,53.5856725,-113.4429545
1869,508456,16A Avenue West of  34 Street,2017,2400.0,53.4437657,-113.3963966
1870,540799,93 Street North of  68 Avenue,2017,1100.0,53.5053043,-113.4704108
1871,331425,St Albert Trail North of 122 Avenue,2017,37500.0,53.5753732,-113.5530404
1874,336117,170 Street North of 110 Avenue,2016,34600.0,53.5584745,-113.6153274
1875,538059,75 Street North of  87 Avenue,2013,42100.0,53.522251,-113.4428735
1878,100492,100 Avenue West of 115 Street,2018,13500.0,53.5388381,-113.520458
1879,229576,60 Avenue West of 109 Street,2015,400.0,53.4971575,-113.5128138
1880,214204,25 Avenue West of 117 Street,2017,800.0,53.4566193,-113.532347
1881,316343,Yellowhead Trail West of 170 Street,2017,63900.0,53.571891,-113.622706
1884,100820,101A Avenue West of  96 Street,2013,900.0,53.54364,-113.482981
1885,235924,76 Avenue West of 118 Street,2018,1800.0,53.5122571,-113.5361332
1886,110059,34 Street North of 111 Avenue,2011,2200.0,53.5646761,-113.3937436
1887,113115,124 Street North of 102 Avenue,2013,13100.0,53.5437441,-113.5358814
1888,112001,103 Street North of 100 Avenue,2014,5500.0,53.5399391,-113.4974264
1889,524520,Connors Road West of  85 Street,2013,17400.0,53.5262714,-113.4606801
